Total_Beds,Beds_A,Beds_B,Beds_C,Avg_Relocated_Total,Avg_Prob_Full_A,Avg_Prob_Full_B,Avg_Prob_Full_C,Avg_Util_A,Avg_Util_B,Avg_Util_C
125,86,18,21,1439.3333333333333,0.022834483070415162,0.1811201495800944,0.6455887791268745,0.6196347031963471,0.6776763064434297,0.9918243096325288
125,86,19,20,1458.0,0.021401767440236943,0.1429515984384556,0.6616010677010064,0.6270149729213125,0.6571497236241287,0.9917351598173516
125,86,20,19,1523.3333333333333,0.012518735898770927,0.12003235988208981,0.6907872621914501,0.6244557714771158,0.6804109589041095,0.9934631098293679
125,86,21,18,1535.6666666666667,0.013355083728333049,0.08309530602394302,0.7032661989636618,0.6074970797493894,0.649054142204827,0.9929477422628108
125,86,22,17,1574.0,0.014768482904366276,0.08580076646364891,0.7236436894896187,0.6003716682595307,0.6466168534661686,0.9942519473542841
125,86,23,16,1616.6666666666667,0.009431080988980744,0.05263637289667356,0.7329893819009081,0.6018583412976531,0.6171133611276552,0.9943493150684931
125,86,24,15,1683.3333333333333,0.012793123062134754,0.051679111998124826,0.7621980056860748,0.6065307422746098,0.5910578386605784,0.9946423135464232
125,86,25,14,1718.6666666666667,0.01748260599461139,0.041975903114357525,0.7740059768716488,0.609461611978337,0.5632876712328767,0.9952380952380953
125,86,26,13,1709.3333333333333,0.006729550984705273,0.02635138803476389,0.784155081200911,0.6040777317617075,0.5568317527221637,0.9959957850368809
125,86,27,12,1764.0,0.009681296720251125,0.02510537586732785,0.8101087162706881,0.5993734735053626,0.5524437679688822,0.9964231354642313
125,86,28,11,1763.0,0.005336690973509661,0.006797385006310757,0.8157318985674106,0.6035467771052353,0.5153620352250489,0.9967621419676215
125,86,29,10,1842.6666666666667,0.0045340371473041015,0.006781270131895704,0.8358368330348599,0.5896676223850483,0.5152574397732641,0.9976255707762558
125,86,30,9,1869.0,0.007191808682814834,0.004569842161083037,0.8499648242862317,0.5941807369650632,0.4847488584474886,0.9966514459665147
125,86,31,8,1897.0,0.007786961055896889,0.0,0.866717483891971,0.6013592439205692,0.4920312269848284,0.9972602739726026
125,86,32,7,1919.6666666666667,0.006852225678578592,0.003795124026764709,0.8846262062511757,0.5908038653498991,0.450513698630137,0.9984344422700587
125,86,33,6,1979.0,0.006652978812241649,0.0,0.9055187398268024,0.5946479770627588,0.4480420644804206,0.9978691019786909
125,86,34,5,2012.3333333333333,0.005517765659104009,0.0007698229407236335,0.9162781321557754,0.5974938940214506,0.4135106097233414,0.9987214611872145
125,86,35,4,2011.3333333333333,0.00500629843674865,0.0007326007326007326,0.934588419623353,0.5967399384092599,0.4267971298108284,0.9993150684931508
125,86,36,3,2104.6666666666665,0.0038645048586090185,0.0,0.9556203245520706,0.594127641499416,0.4171740233384069,0.9993911719939117
125,86,37,2,2119.3333333333335,0.006661986788628967,0.0,0.9639770032124524,0.5935435913772964,0.39748241392077005,1.0
125,86,38,1,2175.3333333333335,0.006039451939247383,0.0,0.9826985954562972,0.5858766061378359,0.37683249218937753,1.0
125,87,1,37,1098.0,0.08569623966566862,0.9417570451634233,0.4168941580653385,0.6994069175457933,0.9287671232876713,0.9795384425521411
125,87,2,36,1172.6666666666667,0.09488147778260837,0.8779477740302943,0.43910184354965914,0.7066183803075631,0.921917808219178,0.9794774226281077
125,87,3,35,1116.3333333333333,0.06088968557266211,0.8213002618415807,0.45103332441788985,0.6877027239804755,0.9083713850837137,0.9800913242009132
125,87,4,34,1107.3333333333333,0.06852379022509987,0.771381611150542,0.44344471361619603,0.6749173358526216,0.8824200913242009,0.9819231802309965
